,禅僧があこがれた聖者,images/motokazu_back-01.png,audio/hard_2.mp3,つづいて、禅宗の僧侶たちが憧れをもって眺めた聖者を見ていきましょう。<br>『景徳傳燈録』（出品番号14）は禅宗の祖師たちの伝記をまとめた代表的な書物で、景徳元年（1004）に編纂されました。本展覧会では、釈迦、達磨、寒山の伝記を掲出しています。<br>釈迦が言葉を発さずにただ蓮華をひねった。他の弟子は意味を理解できず、ひとり迦葉だけがにっこりと微笑んだという。この「拈華微笑」の物語は、言葉を使わず心から心へ伝えるという、禅宗の起源を示すものとして、宋代以降の禅宗で盛んに用いられました。<br>また「芦葉達磨図」は、中国にやってきた達磨が、梁の武帝と会見したものの、理解されず、一茎の芦葉に乗って揚子江を渡り、魏に入ったという説話を表しています。「芦葉達磨図」（出品番号１）も芦葉を踏みつけ、振り向きざまに、こちらを見つめていますが、水上である様子は表現されていません。<br>寒山と拾得は、中国の唐代の詩僧で、その風狂な振る舞いから、悟りの境地を表すものとして、禅僧が説法をする際に引用されたほか、禅宗絵画の画題となりました「拾得図」。その詩集『寒山詩』（出品番号15）は、禅僧の詩作や問答に引用されました。,,,,
5,羅漢像,TRUE,FALSE,,,絹本着色,鎌倉時代（13世紀）,常盤山文庫所蔵（慶應義塾寄託）
6,釈迦三尊十六羅漢図,TRUE,TRUE,十六羅漢は、唐代に玄奘が漢訳した『大阿羅漢難堤蜜多羅所説』に登場し、釈迦入滅後、この世にとどまり、釈迦の教えを護持する役目を託された大阿羅漢である。羅漢は、神通力によって、龍を呼び、虎を手懐けている。この「降龍伏虎」の羅漢は、十六尊のうち最も早くに成立した個性。<br>出品番号6は、若州小浜妙徳寺に伝来し、釈迦三尊と十六羅漢がそろう。裏面には「夏屋自凉大姉／宝岳自貞大姉／夏月童子／徳雲寺檀中／西津家／先祖代々／嘉永三庚戌仲冬」とあり、嘉永年間には、妙徳寺の末寺である徳雲寺にあったようだ。出品番号6は、十六羅漢の一図と思われるが、現在は一図のみ伝わっている。,,絹本着色,鎌倉時代（13世紀）,常盤山文庫所蔵（慶應義塾寄託）
7,拾得図,TRUE,TRUE,中国天台山国清寺の禅僧拾得（じっとく）は、寒山とともに、世俗の価値観に囚われない自由な精神の持ち主として描かれる。実は寒山は文殊菩薩、拾得は普賢菩薩の化身だという伝説も生まれた。多くは寒山が巻物を、拾得が箒を持った姿である。本作品ももともとは対になっていた片方かもしれない。<br>胡直夫（こちょくふ、？−？）は中国の記録に登場しない逸伝の画家。足利将軍家の所蔵した東山御物に含まれる「布袋図・朝陽図・対月図」（徳川美術館所蔵）の作者として伝えられるなど、日本にいくつか伝承作品がある。賛者については、伝記等一切が不明。<div class='tategaki'>手舞足踏<br>是何儀軌<br>便是普賢<br>只堪掃地<br>　慵衲　吟（？）勤<br>　（印「　」「慵／衲」）</div>知らず知らず手を振り足を踏んで踊っているような姿は、どんな儀軌（仏像の見本図像集）に基づいているのか（いやこんな姿は載っていないだろう）。でもこれこそが普賢菩薩、ただ地面を掃除するしか能がないのだが。,伝胡直夫筆、慵衲吟勤賛,紙本墨画,元時代（14世紀）,慶應義塾所蔵（センチュリー赤尾コレクション）
8,拾得図,TRUE,TRUE,自閑（じかん、？−？）は本図のほかに現存作品が確認できない逸伝の画家。『古画備考』には、本図とその印、渡唐天神図からとった印が２種掲載されている。鎌倉で活躍した賢江祥啓（けんこうしょうけい、？−？）やその一派の描く拾得図に似る。,自閑筆,紙本墨画,室町時代（16世紀）,常盤山文庫所蔵（慶應義塾寄託）
9,蝦蟇仙人・鉄拐仙人図,TRUE,TRUE,蝦蟇仙人（劉海蟾）は、3本足の白い蝦蟇を従え妖術を使い、鉄拐仙人（李鉄拐）は、八仙の一人で、杖をつき、自分の魂を遠くに飛ばすことができた。鉄拐は、7日間弟子に魂の抜けた体を見守らせたが、６日目に、弟子は、母が危篤であると知らせを受け、鉄拐の体を焼いて故郷に帰ってしまった。そのため戻る体を失った鉄拐は、足が悪い死体を借りて蘇ったという。<br>秋月等観（しゅうげつとうかん、？−？）は、薩摩島津氏の家臣であったが、山口の雪舟を訪ね、画を学んだ。明応４年（1495）に明に渡ったと考えられ、落款にもその旨が記されている。輪郭線を用いずに墨の筆触をいかした岩場と、彫りが深く外隈を施した人体表現、躍動感がある衣紋線をもつ堂々とした作品。,秋月等観筆,紙本墨画淡彩,室町時代（16世紀）,常盤山文庫所蔵（慶應義塾寄託）
10,渡唐天神図,TRUE,TRUE,江戸時代後期に、土佐光孚（とさみつざね、1780−1852）によって、室町時代中期に活躍した土佐広周（とさひろちか）筆と鑑定されている。<br>賛者の景徐周麟（けいじょしゅうりん、1440−1518）は、室町時代の禅僧。幕府官僚の大舘氏出身、相国寺住持、鹿苑僧録（五山住持などの人事を管理する役職）を務める。<br>菅原道真（845−903）は、天神となって中国に渡り、宋代の禅僧で径山の住持だった無準師範（ぶじゅんしばん、1177−1249、仏鑑禅師）に弟子入りし、その教えを受けた、という渡唐天神の伝説に基づいて描かれたもので、賛は景徐の詩文集『翰林葫蘆集』巻10に「天神」の題で収められる。<div class='tategaki'>仏鑑天神驀路逢<br>挿梅叉手又当胸<br>龍淵池上五更月<br>雲破観音寺裡鐘<br>　香雪道人周麟拝賛<br>　　（印）（印）</div>仏鑑禅師とばったりと会うと、天神は梅の枝を脇に挟み、手を組んで胸に当てて礼拝して禅の教えを受けた（その姿をこの絵は写している）。禅師の住む径山の龍淵池にかかる真夜中の月は、道真の住む大宰府観音寺でも見え、また観音寺で雲を破るように響き渡る鐘の音は径山にも響いている。,伝土佐広周筆、景徐周麟賛,絹本着色,室町時代（15世紀）,慶應義塾所蔵（センチュリー赤尾コレクション）
11,芦葉達磨図,TRUE,TRUE,衣を力強く太い濃墨線で描き、外隈を施して達磨の体躯を際立たせる。落款も印章もなく、作者は不明であるが、16世紀頃の制作と推測される。江戸時代狩野養川院惟信の箱書には、14世紀の画僧である「一之（いっし）」筆とするが、一之と伝わる白衣観音図（出光美術館、ドラッカーコレクション）とは作風が異なる。芸州浅野家伝来。,,紙本墨画,室町時代（16世紀）,常盤山文庫所蔵（慶應義塾寄託）
12,楊柳観音図,TRUE,TRUE,山中の清らかな岩に座す白衣観音のうち、側の水瓶に楊を挿すものをとくに「楊柳観音」、滝を眺めるものは「滝見観音」と称され、いずれも禅僧に好まれた画題であった。本図のような素足を露わにしたくつろいだ姿に、物事に囚われない自在の境地を重ねたのかもしれない。<br>作者の可翁（かおう、？−？）は、14世紀に活躍し、日本の初期水墨画を代表する画僧だが、その伝歴は明らかにはなっていない。<br>賛者の一山一寧（いっさんいちねい、1247−1317）は、中国宋元代の禅僧。モンゴルの使者として来日、そのまま帰国せず、建長寺・円覚寺・南禅寺等の住持を歴任した。詩書画にすぐれ、日本における五山文学の創始者のひとりとされる。<br>本作品の賛は、雑言古詩の形式をとり、第二・第四・第五句末で押韻している。絵画を忠実に言語化しつつ慈悲深い観音を賛美する。<div class='tategaki'>崖樹聳高空、飛沢鳴天外、<br>晏坐盤地衣、妙応於一切、<br>軍持風竹揺寒歳<br>　一山比丘一寧拝手</div>頭上には崖があって樹木が空高くそびえ、足下には急流うずまく谷川の音が空の果てまで聞こえる。苔の生えた石の上にゆったりと座り、すべての衆生を救う。水差しに挿した竹が冬の冷たい風に揺れている。,伝可翁筆、一山一寧賛,絹本墨画,鎌倉時代（14世紀,常盤山文庫所蔵（慶應義塾寄託）
13,弁財天図,TRUE,TRUE,鉄舟徳済（てっしゅうとくさい、？−1366）は、鎌倉・室町時代の禅僧。元に留学後、夢窓疎石の弟子となり、京都五山の一つ万寿寺住持となる。画僧としても知られる。<br>画中の賛は、五言絶句で、絵画を忠実に言語化しつつ慈悲深い弁天を賛美する。鉄舟の詩集『閻浮集』には収めない。<div class='tategaki'>泉洒岩間雪<br>琅然入妙音<br>衆生海未尽<br>随処起悲心<br>　徳済拝賛</div>滝がほとばしり、岩の間に雪のような白いしぶきを上げ、その美しい音が琵琶の妙なる音と一体となる。救うべき衆生は海のように尽きないから、いたるところで慈悲の心を発揮するのである。,鉄舟徳済筆　自賛,絹本墨画,鎌倉時代（14世紀）,常盤山文庫所蔵（慶應義塾寄託）
14•15,禅の聖人たちに関する典籍,FALSE,TRUE,出品番号14<br>「景徳傳燈録」<br>釋〔永安〕道原撰、〔京〕建仁寺天潤菴玉峯正琳刊、貞和4年（1348）刊、紙本木版刷、斯道文庫所蔵<br><br>出品番号15<br>「寒山詩」<br>唐・釈寒山撰、文明15年（1483）写、紙本墨書、斯道文庫所蔵,,,,
