,舶来の花鳥画とその広がり,images/motokazu_back-01.png,audio/hard_4.mp3,足利将軍家では、中国から船で運ばれてきた美術工芸品である唐物が好んで集められ、その所蔵品は「東山御物（ひがしやまごもつ）」と呼ばれ、とくに珍しいものとして大切にされました。<br><br>その中には、宮廷画家である趙昌（ちょうしょう）が描いたものとして伝わり、花や枝葉の輪郭を精細な線で形取り、葉の表裏は輪郭線を引かずに、没骨描法（もっこつびょうほう・筆の面を使って描く）で色付けされるところに特徴があります。<br><br>このような舶来の絵画に身近に触れた絵師として、足利義政に仕えた小栗宗湛（おぐりそうたん、1413−1481）や狩野正信（かのうまさのぶ、1434？−1530？）が挙げられます。宗湛の手掛けたものとして代表となるような作品は残っていませんが、文献の上では、扇の面の図案として「藤、躑躅（つつじ）、小鳥」を描いたとあり（『蔭凉軒日録（いんりょうけんにちろく）』（文正元年（1466）二月十一日））、中国の花鳥画に学びながら、題材は藤や躑躅という日本の草花に置き換えたような花鳥画を制作していたと考えられています。また、16世紀に活躍した曽我宗誉（そがそうよ、？−？）が描いた「芙蓉図（ふようず・蓮の花が描かれている作品）」（真珠庵所蔵）などは、南宋時代の宮廷画家李迪（りてき））の「芙蓉図」を明らかに真似ています。「水仙小禽図（すいせんしょうきんず）」（出品番号28）が、小栗宗湛の一派や宗誉など曽我派の絵師によって描かれた可能性は十分にあるでしょう。<br><br>また、一方で、足利将軍家所蔵の舶来画に触れた画僧として、芸阿弥（げいあみ・室町時代に様々な芸能に携わった画家として知られる）の元で学んだ建長寺の画僧、賢江祥啓（けんこうしょうけい、？−？）があげられます。祐周筆「海棠白頭翁図（かいどうはくとうおうず）」（出品番号27）は、賢江祥啓筆「花鳥図」（京都国立博物館所蔵）との関連性が指摘されており、宮廷の様式が、関東にいるあちこちの画家へ広がっていくさまが見えます。,,,,
27,海棠白頭翁図,TRUE,TRUE,祐周（ゆうしゅう、？−？）は、16世紀頃に活躍した絵師と想像されています。海棠（かいどう）の花の枝にとまる白頭翁（むくどり）は、右下に鋭く視線をむけており、白頭翁の目の周りには、貝殻から作られた白い日本絵具の胡粉（ごふん・白色の顔料）を用いて色付けされているほか、海棠の花には、胡粉と桃色や黄色を用い、葉の表は緑青、裏は淡い緑色の白緑（びゃくろく）で塗り分けられています。<br><br>本図は、常盤山文庫（ときわやまぶんこ）の祖である菅原洞斎（すがわらどうさい）が、戦後の鎌倉の町で見かけ、「祐」が亡き母の姓であったため、愛着を感じて購入したという秘話が語られています（「東京日々新聞」1951年3月3日）。,祐周筆,紙本着色,室町時代（16世紀）,常盤山文庫所蔵（慶應義塾寄託）
28,水仙小禽図,TRUE,TRUE,宗山等貴（しゅうざんとうき、1464−1526）は、室町時代の禅僧。伏見宮貞常親王（ふしのみや さだつねしんのう・後花園天皇の弟）の子で、兄と共に相国寺の僧となり、住職にもなっています。<br><br>イバラは厳しい修行の道を、美しく咲く水仙は悟りを象徴とすると、不安定な細い枝に止まって花を見ている白頭鳥は、この詩を受け取った良演を表すと思われています。叔雅良演は1491年頃に南禅寺にいて修行し、その後1496年には木曽興禅寺の住持になっている人物です。,宗山等貴賛,紙本着色,室町時代（15−16世紀）,常盤山文庫所蔵（慶應義塾寄託）
29•30•31,水仙の詩にまつわる典籍,FALSE,TRUE,出品番号29<br>「増廣事聯詩学大成　30巻」<br>元・毛直方編、鄞江書院刊行、至正14年（1354）、紙本木版刷、慶應義塾図書館（三田メディアセンター）所蔵<br><br>出品番号30<br>「魁本大字諸儒箋解古文眞寳前集　10巻」<br>宋・黄堅編、五山版、室町時代前期（15世紀）、紙本木版刷、慶應義塾図書館（三田メディアセンター）所蔵<br><br>出品番号31<br>「山谷詩集注抄」<br>宋・黄庭堅著、寛文3年（1663）刊、紙本木版刷、斯道文庫所蔵<br>(詳しくは、P.*のコラムを参照),,,,
32,蘭図,TRUE,TRUE,一休宗純（いっきゅうそうじゅん、1394−1481）は、室町時代の禅僧で、父は後小松天皇です。少年時、建仁寺などで修行し、その後、大徳寺住持だった華叟宗曇（かそうそうどん）に教えを受け、京都・堺などを転々としながら風狂の僧として人々に知られました。詩と書を多く残し、本作は、一対の蘭の絵と一体化するように、それぞれの幅に詩文を記しています。,一休宗純筆　自賛,紙本墨画,室町時代（15世紀）,慶應義塾所蔵（センチュリー赤尾コレクション）
33,狂雲集（沖森本）,FALSE,FALSE,,,紙本墨書,文明４年（1472)奥書,個人蔵
34,狂雲集,FALSE,TRUE,室町時代から江戸時代初め頃の写本が十本程度伝わり、収録作品に出入りがあります。一休自身が生前から編集を行い、弟子に清書させ、さらに内容を補って増やしていったのでしょう。,,紙本木版刷,寛永19年（1642）刊,個人蔵
35,堆朱花食文彫刻筆,TRUE,FALSE,,,木製、漆塗,明時代（14ー17世紀）,慶應義塾所蔵（センチュリー赤尾コレクション）
36,端渓箕様硯,TRUE,FALSE,,,石,宋時代（12世紀）,慶應義塾所蔵（センチュリー赤尾コレクション）
37,松に鷹図屏風,TRUE,TRUE,越前朝倉家の絵師であった曽我派は、朝倉家が滅亡した後、堺に移り住み、曽我派の再興を目指しました。曽我二直庵（そがにちょくあん、？−1656以降）は、堺で活動した曽我直庵の後継者で、鷹図を得意としました。<br><br>中国や日本において古くから鷹は描かれてましたが、明時代には、単体の鷹、獲物を追う鷹など多くの作例があり、日本絵画にも影響を与えました。,曽我二直庵筆,紙本墨画金泥引,江戸時代（17世紀）,紙本墨画金泥引、常盤山文庫所蔵（慶應義塾寄託）
38,月に兎図,TRUE,TRUE,蔵三（ぞうさん、？−？）は、江戸時代の鑑識において、小栗宗湛と混同されており、『絵師姓名冠字類抄』（菅原洞斎著）には、小栗宗湛の項目に「宗旦」および「蔵弎」の印が収載されています。蔵三筆「四季山水図屏風」（ボストン美術館所蔵）にも「宗旦」「蔵弎」の印が捺されており、蔵三は、花鳥画や水墨山水画を手がけた絵師と考えられています。,蔵三筆,紙本着色,室町時代（16世紀）,常盤山文庫所蔵（慶應義塾寄託）
